Variable,Mean,Std,Min,1%,25%,50%,75%,99%,Max,Skewness,Kurtosis
log_annual_fees,11.879255052039813,0.519394471854144,11.512925464970229,11.512925464970229,11.512925464970229,11.695238688396127,12.191019259712045,13.815510557964274,16.12804598181149,2.07620679886007,5.632177003609337
log_annual_income,13.378452154906045,0.8163213676410617,9.209940291954844,11.84939884364857,12.899209826040119,13.217666284454934,13.815506557956274,15.955576250872198,19.37619220436442,1.1198775132748446,3.208491589051441
occupation_cd,0.6960107205442738,0.46000174975968333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.8523930154402021,-1.2736887789144744
age_at_issue,46.43892382228636,13.462889283978,18.0,21.0,37.0,46.0,56.0,77.0,92.0,0.24394578078834714,-0.4724170969846293
additional_members,1.4510875167508503,1.1368268837325135,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.06295575403215124,-1.3990254907072674
start_year,2010.8559942273992,1.715298775804384,2006.0,2007.0,2010.0,2011.0,2013.0,2013.0,2013.0,-0.19774201818894407,-1.1525491633339209
duration,1.9645592249351502,1.6414125157911235,0.005479452054794521,0.01643835616438356,0.6712328767123288,1.1643835616438356,3.408219178082192,5.835616438356165,7.219178082191781,0.7822328315181434,-0.6376020456559885
term_years_(unadjusted),29.41593650139161,22.612114024144404,9.0,12.0,12.0,17.0,37.0,99.0,102.0,1.573086680733197,1.6005310939060804
